"","Loc1","Loc2","Loc3","Loc4","Loc5","Loc6","Loc7","Loc8","Loc9","Loc10","Loc11","Loc12","Loc13","Loc14","Loc15","Loc16","Loc17","Loc18","Loc19","Loc20","Loc21","Loc22","Loc23","Loc24","Loc25","Loc26","Loc27","Loc28","Loc29","Loc30","Loc31","Loc32","Loc33","Loc34","Loc35","Loc36","Loc37","Loc38","Loc39","Loc40","Loc41","Loc42","Loc43","Loc44","Loc45","Loc46","Loc47","Loc48","Loc49","Loc50","Loc51","Loc52","Loc53","Loc54","Loc55","Loc56","Loc57","Loc58","Loc59","Loc60","Loc61","Loc62","Loc63","Loc64","Loc65","Loc66","Loc67","Loc68","Loc69","Loc70","Loc71","Loc72","Loc73","Loc74","Loc75","Loc76","Loc77","Loc78","Loc79","Loc80","Loc81","Loc82","Loc83","Loc84","Loc85","Loc86","Loc87","Loc88","Loc89","Loc90","Loc91","Loc92","Loc93"
"signal11",2,0,8,0,2,1,0,2,3,4,6,3,1,0,0,1,3,10,1,4,1,3,2,1,2,0,1,1,0,0,10,2,7,4,1,0,1,3,0,5,0,1,4,1,4,2,0,0,1,0,6,5,2,13,1,0,4,0,0,1,0,0,0,5,0,6,10,2,1,4,5,4,1,3,0,9,0,3,1,4,3,5,0,0,1,0,5,1,7,1,0,2,0
"signal12",1,0,3,2,1,3,5,6,2,3,0,3,5,1,0,3,2,2,5,0,7,0,1,2,0,1,1,1,2,0,4,1,0,6,5,2,1,0,1,0,2,0,5,3,0,4,0,0,0,2,3,0,1,2,1,1,4,1,2,1,1,2,3,2,0,8,5,7,1,2,1,2,3,0,4,1,2,5,6,1,1,0,1,2,1,0,9,2,7,1,1,3,0
"signal13",1,7,4,1,0,2,2,1,1,0,2,0,2,9,3,0,0,6,4,0,3,6,1,7,3,1,2,0,0,3,0,0,0,0,0,3,1,1,0,1,0,4,0,2,1,0,1,8,2,0,3,1,0,2,2,1,0,1,0,2,4,0,0,5,0,4,1,0,2,1,3,3,0,5,3,0,8,0,1,0,6,1,4,4,4,2,11,2,9,2,2,3,1
"signal14",2,2,3,0,0,2,1,6,2,2,7,2,3,9,0,6,1,0,1,1,1,2,2,0,6,2,2,0,3,1,3,5,1,0,2,3,3,1,0,2,3,3,0,1,3,2,11,5,1,2,0,3,10,3,3,3,2,2,2,3,0,2,5,2,2,7,3,4,5,0,2,1,3,2,2,3,0,3,2,5,4,6,4,4,5,1,5,0,3,1,1,1,1
"signal15",6,1,1,3,5,2,3,2,5,3,1,1,5,1,0,0,1,0,1,2,1,2,3,4,2,0,1,5,2,4,1,1,2,0,5,3,3,1,2,4,9,1,2,2,0,1,0,4,3,2,0,11,3,0,0,0,2,1,1,2,1,5,1,0,2,6,3,2,3,4,8,2,1,3,5,1,2,1,3,6,2,2,1,1,4,0,3,0,7,2,4,8,5
"signal16",0,0,5,0,6,3,0,2,6,0,0,1,3,2,8,0,0,1,1,1,1,7,0,4,0,1,3,1,1,0,4,4,5,3,4,1,1,4,6,0,1,3,0,1,0,0,4,4,2,1,2,3,0,2,1,1,3,2,7,0,2,2,1,3,4,13,4,6,3,4,1,1,0,0,3,0,3,4,0,0,2,1,1,6,0,0,13,1,9,2,3,4,0
"signal17",1,1,0,2,0,1,1,11,5,0,3,1,0,1,6,1,0,1,2,0,0,3,1,0,4,0,1,1,2,0,1,3,3,5,0,0,5,1,1,5,3,0,1,1,8,1,5,1,1,5,0,0,0,0,2,3,1,12,10,3,2,3,2,1,3,2,1,1,0,3,1,3,0,2,1,1,0,1,2,0,3,3,3,2,3,1,3,4,3,2,3,2,2
"signal18",4,2,1,3,4,4,1,5,4,2,0,1,1,4,3,4,3,0,5,3,5,1,1,2,0,4,3,1,3,0,1,0,3,0,0,3,9,5,2,0,3,7,3,2,2,1,2,1,6,1,3,1,4,5,0,0,0,3,1,1,1,1,2,2,1,2,0,2,0,2,0,2,3,0,3,2,0,3,0,1,0,0,1,2,2,4,5,2,4,0,0,1,0
"signal19",0,1,2,4,3,0,0,1,3,5,1,0,2,1,5,0,4,2,0,0,1,2,7,0,2,1,1,3,1,2,2,3,2,2,0,5,2,0,5,0,0,2,1,2,5,0,5,4,2,5,1,1,3,4,1,0,4,0,2,1,0,3,1,0,1,0,0,3,1,3,0,2,1,0,3,0,0,2,0,3,4,1,0,3,4,3,4,1,4,8,3,0,1
"signal20",5,1,2,0,1,1,1,3,0,4,1,6,0,0,1,3,1,1,1,1,1,1,3,4,0,1,2,0,1,3,2,1,1,1,4,5,3,0,2,0,6,1,1,1,2,3,1,1,3,1,1,2,1,2,4,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,1,0,3,1,3,1,2,2,5,0,1,3,1,0,1,3,4,2,3,1,2,0,1
"signal21",2,2,4,2,2,0,0,3,0,8,4,2,1,1,0,0,1,0,2,4,0,1,1,2,3,1,1,1,0,0,5,4,1,5,1,0,3,1,5,0,0,0,1,6,2,2,1,1,2,0,5,1,0,0,0,1,0,1,4,4,2,0,2,6,1,8,2,0,0,0,1,1,1,4,1,0,0,1,0,1,1,0,1,1,2,0,6,2,11,2,2,7,2
"signal22",3,1,0,6,2,1,0,13,1,5,0,0,3,1,0,12,4,2,1,0,1,4,5,1,2,3,7,1,0,1,1,1,2,3,1,0,1,3,1,0,3,5,1,0,1,5,11,2,0,0,3,0,0,4,2,1,1,3,1,2,0,4,1,3,1,1,4,3,4,5,3,1,3,2,2,0,3,0,1,1,9,3,0,1,2,7,8,2,0,0,2,7,1
"signal23",1,3,0,6,2,5,3,5,0,5,2,1,5,0,1,1,4,2,0,4,1,0,0,0,0,4,5,0,1,0,0,3,0,3,0,0,1,0,0,1,0,9,0,1,4,0,2,4,6,4,1,2,2,4,2,4,0,0,0,0,0,0,2,3,0,4,2,1,0,1,4,4,6,4,0,1,0,6,3,8,3,4,2,0,1,2,1,3,12,0,0,3,3
"signal24",5,2,2,0,1,2,3,3,0,3,0,1,0,1,1,1,4,3,0,2,1,0,1,4,5,6,2,2,0,4,1,0,1,3,1,0,4,1,2,0,0,2,2,11,1,0,1,3,0,3,1,4,0,1,4,1,5,4,2,2,6,4,5,2,1,10,3,0,0,7,1,5,2,0,0,3,4,0,7,2,4,3,3,1,0,5,0,2,11,0,0,2,1
"signal25",2,0,0,3,0,0,1,0,4,1,0,3,1,2,2,1,1,3,2,4,2,0,0,5,1,1,5,1,1,1,1,1,2,0,3,3,1,1,4,3,3,2,0,2,2,5,1,3,1,0,0,2,0,2,1,0,3,4,1,1,0,2,1,4,3,16,3,1,0,1,0,7,2,1,3,5,3,0,7,0,0,3,2,1,0,1,17,0,14,1,6,2,3
"signal26",1,0,0,2,1,0,4,0,3,3,0,0,1,2,0,6,3,3,2,2,3,2,1,1,2,3,5,0,0,7,2,0,0,0,7,2,1,1,6,0,0,1,0,0,6,1,3,1,1,7,1,4,0,0,2,4,4,1,2,1,2,1,0,1,3,15,5,6,0,2,2,1,2,1,2,1,2,1,1,5,1,4,3,0,1,0,5,0,14,2,4,1,2
"signal27",2,0,0,2,0,5,4,7,1,0,3,0,3,3,1,0,1,4,0,1,1,4,3,1,5,0,1,3,0,3,0,3,1,1,2,5,0,1,4,1,1,1,1,0,5,6,4,1,1,1,5,2,5,10,1,0,0,3,3,1,1,1,0,3,6,2,6,4,2,1,0,2,1,2,3,0,3,1,0,3,0,0,0,2,1,3,7,0,0,2,2,0,0
"signal28",0,4,3,3,0,4,1,6,2,6,6,1,1,1,4,10,0,4,1,1,0,2,3,2,3,0,2,3,4,4,1,2,2,4,0,1,3,2,1,0,2,6,3,2,1,7,3,7,0,4,1,1,2,2,1,3,1,1,3,2,4,7,4,3,1,7,0,4,2,3,0,1,1,1,1,2,9,2,1,0,0,0,1,11,1,0,1,1,6,3,1,1,0
"signal29",0,1,1,3,0,3,1,6,0,2,3,7,2,1,5,0,4,0,0,1,2,1,1,2,3,2,1,0,3,1,0,1,2,0,0,2,7,0,1,6,0,2,0,4,5,1,1,2,2,1,3,4,2,0,4,1,9,6,0,1,2,1,2,5,6,6,2,1,1,1,1,4,4,5,2,2,1,0,4,1,3,4,3,5,0,0,11,1,3,3,0,3,0
"signal30",2,1,2,0,3,1,4,1,0,3,6,3,0,6,1,0,1,1,0,3,3,1,2,2,7,2,1,3,1,0,1,0,0,3,0,2,4,1,2,2,1,0,3,4,5,2,0,0,0,1,2,3,0,4,2,0,0,0,3,1,3,2,3,4,2,7,10,4,3,3,5,1,0,1,1,0,2,1,2,2,4,6,3,1,5,0,7,5,9,0,1,0,4
"signal31",0,2,7,2,2,2,3,2,3,0,3,3,3,1,5,1,2,3,1,2,1,2,7,4,2,0,0,2,2,2,0,1,1,1,3,0,1,3,2,6,4,3,5,7,2,1,11,1,2,3,0,1,4,6,0,3,2,0,7,4,0,4,0,0,0,1,2,0,0,0,6,2,5,0,4,0,3,0,2,3,0,1,1,2,3,1,1,3,6,1,6,1,0
"signal32",1,1,2,11,0,3,2,8,3,1,2,0,0,0,3,2,2,4,4,0,0,4,1,0,7,4,9,1,1,1,4,1,0,3,4,0,4,0,10,0,2,4,2,1,5,6,6,0,6,4,3,3,1,2,6,3,0,2,2,3,1,2,3,5,1,2,1,5,5,0,3,1,0,5,1,1,1,3,0,6,3,2,1,0,0,3,12,3,3,3,6,1,1
"signal33",3,3,0,1,1,3,3,1,3,1,6,2,2,0,2,3,3,2,4,1,1,2,0,0,0,1,3,2,2,0,3,3,0,5,5,4,3,0,3,1,6,1,0,0,2,2,0,5,3,12,1,1,2,1,0,6,2,0,3,1,0,3,6,2,0,2,3,0,2,1,1,5,5,2,3,3,0,0,0,8,1,2,0,0,3,2,9,0,1,0,4,3,4
"signal34",2,6,1,2,4,2,1,2,4,6,0,4,1,1,1,4,7,2,11,2,1,3,1,3,1,4,0,0,5,1,3,2,5,0,2,1,0,0,1,2,1,3,0,2,1,2,1,0,3,3,1,6,0,0,2,3,7,3,5,3,3,5,1,3,4,9,1,1,2,0,2,2,0,0,0,0,2,6,0,0,1,2,1,0,2,1,3,5,0,0,3,4,2
"signal35",4,4,2,0,1,2,0,28,2,0,2,2,0,3,1,1,1,1,0,1,7,1,1,5,0,0,1,9,2,1,2,1,0,4,2,4,3,1,0,4,2,1,6,0,2,1,5,3,1,2,0,3,1,1,0,1,2,2,4,0,4,3,0,0,9,4,2,0,0,2,7,0,2,5,5,0,4,0,0,0,1,0,0,3,0,0,2,2,4,0,2,4,3
"signal36",0,4,1,1,0,0,1,8,2,2,5,1,3,5,0,2,1,4,0,4,0,3,0,3,0,1,0,2,0,1,2,3,1,2,5,0,1,1,3,0,3,0,3,2,3,7,3,0,4,1,0,1,0,1,0,3,2,2,5,0,8,1,3,1,3,5,1,1,1,2,2,1,0,0,0,1,2,1,4,0,2,0,2,1,2,0,12,1,9,1,0,1,2
"signal37",1,1,0,0,0,4,5,12,2,0,1,3,2,2,1,1,1,0,2,4,0,3,0,4,0,5,2,3,3,1,0,0,2,1,1,0,0,5,0,2,4,3,1,1,1,0,4,3,2,3,2,1,0,0,2,3,2,5,4,7,2,0,1,1,3,2,0,0,5,0,0,2,0,7,3,0,1,3,1,2,0,1,0,0,4,0,25,0,9,0,0,0,1
"signal38",3,1,0,2,1,2,3,8,1,2,1,3,2,3,4,1,0,2,4,1,8,0,4,3,0,0,2,2,9,2,12,1,8,0,0,4,2,2,5,2,0,3,3,4,4,1,0,2,0,2,1,3,1,5,4,1,1,2,3,1,6,1,0,3,2,13,1,1,0,2,6,2,2,1,0,2,3,0,2,2,5,3,4,2,2,4,2,5,1,0,5,2,1
"signal39",5,1,0,2,1,1,2,0,0,0,3,1,0,1,1,1,1,8,1,4,2,3,2,0,1,2,1,1,4,2,0,10,1,0,1,0,3,0,1,0,3,0,1,2,4,3,0,3,1,1,4,7,3,1,1,0,4,0,2,1,1,2,2,3,0,2,3,3,9,3,1,2,5,3,0,0,3,4,0,2,3,0,0,1,2,0,5,1,5,3,1,7,5
"signal40",3,1,1,0,1,3,1,6,0,2,2,1,0,1,1,2,0,1,0,9,2,4,0,1,3,1,4,0,1,4,0,2,1,1,1,4,3,3,1,0,6,1,1,2,0,4,3,2,2,4,0,2,2,0,1,1,4,1,0,2,3,0,2,2,7,8,1,2,1,2,0,2,1,2,1,0,3,1,3,3,0,1,0,0,0,2,6,3,5,1,3,4,3
"signal41",0,0,0,1,1,1,2,9,3,2,1,2,0,1,10,1,1,3,4,1,0,1,5,4,2,2,1,2,2,2,1,0,0,3,0,1,1,0,0,4,2,3,1,0,1,1,2,0,2,1,0,0,0,1,1,4,0,3,3,1,1,3,1,1,8,7,3,1,1,2,0,2,1,4,1,3,2,1,1,3,1,1,0,3,1,2,10,1,3,4,3,4,1
"signal42",1,0,0,3,4,0,7,13,3,3,0,0,0,0,0,0,0,1,0,0,0,3,2,2,3,2,0,1,1,4,8,3,1,1,1,2,4,1,0,0,1,2,1,0,1,9,1,0,4,11,4,2,0,0,0,2,1,2,0,0,3,1,0,0,1,14,1,0,0,0,3,4,0,2,1,1,0,0,2,3,4,1,1,2,5,0,4,1,2,2,1,0,5
"signal43",4,3,3,1,0,4,1,4,1,0,2,0,5,5,0,2,4,2,5,1,1,0,1,1,3,2,0,0,1,0,3,2,0,1,6,2,1,2,1,1,0,0,1,0,1,1,3,1,4,2,4,2,0,2,1,0,2,0,1,0,2,0,2,1,1,1,1,0,1,1,3,0,12,0,2,1,1,3,2,0,3,1,1,1,4,3,12,0,6,2,2,1,1
"signal44",2,3,4,2,1,1,1,5,2,5,1,3,0,4,0,1,0,6,2,1,1,0,1,0,1,0,3,2,0,1,1,1,2,1,6,0,1,0,2,2,1,1,0,0,0,0,0,2,0,0,0,1,2,2,1,1,3,1,1,4,1,0,2,2,3,10,0,2,5,1,0,2,1,3,2,1,1,3,7,3,0,1,7,5,0,1,17,0,5,1,3,3,7
"signal45",4,0,0,1,2,2,0,13,5,1,1,3,1,2,1,3,0,6,1,0,2,2,1,5,2,0,3,5,1,1,0,0,1,1,2,1,1,1,2,2,0,0,0,3,2,5,2,10,4,6,3,0,3,0,2,2,3,3,0,4,2,7,0,3,2,4,1,3,1,0,3,0,0,0,0,0,0,4,2,3,3,1,0,0,0,1,2,0,10,2,2,6,0
"signal46",3,6,3,3,0,1,4,6,2,2,2,1,3,6,4,3,0,2,1,1,3,3,7,1,2,3,3,0,0,1,2,1,0,2,1,0,8,1,0,14,3,0,1,8,0,2,1,0,6,1,3,3,0,4,5,0,1,3,0,0,1,0,3,5,4,4,3,1,3,0,3,1,2,1,8,2,0,6,2,2,2,1,6,5,1,0,2,3,1,0,6,2,4
"signal47",1,0,0,3,1,4,4,2,5,3,6,5,0,0,2,2,2,0,1,0,4,7,0,2,5,4,6,0,0,3,1,0,1,4,7,1,1,5,2,2,2,2,3,0,3,2,1,0,1,3,3,0,0,2,3,0,0,1,0,2,4,1,2,3,7,3,3,3,8,1,7,2,2,3,4,2,0,1,4,1,2,1,0,0,1,2,4,4,9,1,2,2,0
"signal48",1,2,3,5,0,1,0,11,6,2,0,2,1,4,2,1,0,9,0,2,2,0,1,0,3,6,0,1,2,1,2,0,4,0,0,2,1,6,2,5,3,1,1,3,0,0,0,3,5,4,0,1,5,1,0,1,5,2,5,1,4,2,0,0,1,12,0,1,6,0,1,5,3,0,2,2,7,0,0,0,0,4,0,0,1,2,0,3,3,3,2,1,1
"signal49",7,1,7,6,3,2,3,8,1,1,2,2,5,5,3,1,3,6,2,4,2,1,4,0,3,2,3,3,3,2,2,2,0,4,1,0,3,0,1,5,3,2,1,1,0,1,7,3,3,0,1,1,2,3,2,1,0,1,1,0,1,1,0,1,2,3,1,1,1,1,2,2,0,0,2,2,3,1,5,3,4,1,0,2,8,0,1,1,15,1,1,0,2
"signal50",2,4,2,3,2,0,1,10,1,1,2,2,1,3,1,6,5,1,2,4,0,3,0,1,3,1,0,4,5,3,2,1,2,1,0,1,4,2,0,5,7,6,1,1,0,4,1,2,0,4,3,2,0,2,4,0,6,0,2,2,0,2,5,1,3,3,2,4,3,0,0,1,1,0,0,3,0,3,0,2,3,0,4,4,0,2,5,0,0,4,2,2,0
"signal51",2,1,0,0,3,3,2,0,10,1,1,2,2,2,0,0,4,0,0,0,3,0,4,0,6,5,4,5,5,1,0,1,1,0,2,2,0,0,0,1,2,2,1,0,1,2,3,2,1,1,1,0,0,4,1,1,0,1,7,7,8,4,4,0,1,5,2,5,2,3,0,4,1,2,1,1,0,0,5,2,2,3,0,1,2,1,0,3,0,1,4,2,1
"signal52",0,0,9,1,3,2,2,1,4,5,1,5,2,5,2,0,1,0,1,2,0,6,1,1,1,4,5,5,0,2,4,2,0,3,1,2,5,0,0,2,3,2,9,2,2,1,1,4,3,0,5,2,5,2,1,1,1,6,4,3,2,0,2,7,1,1,1,5,0,0,5,3,1,0,0,3,3,1,0,0,3,1,0,2,0,2,0,2,0,2,2,1,6
"signal53",2,1,0,0,1,0,4,0,4,4,0,3,1,1,3,0,0,3,1,5,1,1,5,2,1,0,3,1,0,3,1,1,3,0,0,1,2,0,2,0,0,2,2,0,1,4,2,5,1,6,0,1,6,0,3,4,3,2,1,2,0,4,0,3,2,1,2,2,0,0,6,3,1,0,2,3,0,4,2,2,0,2,10,1,1,2,1,1,0,0,3,2,3
"signal54",4,3,1,2,3,3,6,1,0,2,0,2,2,4,1,1,1,0,7,1,2,0,3,5,2,9,5,0,1,2,2,5,1,3,2,6,2,0,1,0,1,3,1,4,5,0,2,1,3,1,0,6,0,3,2,3,3,3,0,2,1,2,1,0,0,2,1,4,2,0,5,2,2,10,2,1,3,0,1,1,3,1,1,1,1,0,0,1,0,2,0,0,0
"signal55",6,1,2,0,3,6,2,0,3,2,2,0,1,1,1,3,1,1,1,2,0,2,1,2,3,2,2,6,0,1,1,0,0,4,6,0,2,4,3,1,2,2,2,0,2,4,3,5,4,6,1,0,1,3,0,0,1,1,0,0,5,2,2,2,1,0,2,1,5,0,2,1,4,3,3,2,0,0,0,4,3,0,0,1,2,2,1,4,0,0,2,3,0
"signal56",1,4,0,3,5,1,3,2,2,1,6,0,0,0,2,1,4,0,0,2,5,5,1,3,1,1,1,0,1,5,0,1,6,6,2,0,0,2,4,2,1,5,1,2,3,1,2,2,2,0,3,4,1,4,0,2,1,1,0,1,3,1,2,1,2,0,0,3,0,1,0,5,3,1,0,1,1,1,7,4,0,1,0,2,1,8,0,1,0,4,14,5,1
"signal57",0,1,2,4,2,0,1,0,7,9,2,1,2,1,0,6,1,0,1,0,0,1,4,0,0,2,0,3,9,3,1,1,3,0,0,3,2,5,2,3,1,2,1,1,3,2,1,3,2,3,2,4,0,0,2,3,2,0,1,4,2,1,0,0,0,2,0,0,5,2,3,1,0,1,0,1,2,0,0,4,2,0,0,1,2,3,0,3,3,1,1,1,1
"signal58",7,1,0,5,0,1,0,1,1,8,1,5,1,3,1,3,2,0,2,1,1,0,2,3,0,6,1,0,1,4,2,1,4,5,0,2,1,4,4,0,4,8,2,0,2,0,2,1,0,2,1,1,3,2,1,1,2,1,2,2,3,1,0,2,1,0,1,0,1,0,2,0,4,3,3,1,1,5,1,4,4,0,3,2,4,7,2,5,2,7,4,4,3
"signal59",3,1,3,1,1,1,12,4,3,0,1,2,3,3,5,2,4,2,4,2,2,2,3,0,0,0,5,0,2,0,0,0,1,2,3,0,14,6,1,2,2,6,8,0,1,1,2,0,0,1,2,2,1,1,0,1,2,3,1,7,7,0,2,3,0,0,4,1,5,6,0,1,2,2,1,3,2,2,10,2,2,4,1,0,2,2,0,4,1,0,4,2,4
"signal60",1,6,1,1,5,0,7,0,6,3,4,1,3,7,5,0,3,5,1,0,1,2,1,0,2,3,0,1,6,3,1,2,3,3,6,5,1,0,5,0,2,1,7,1,4,2,0,3,0,1,2,1,4,2,1,3,0,0,2,2,0,2,1,1,2,2,0,2,5,0,5,0,3,6,0,0,1,0,4,1,0,0,0,1,2,3,0,0,0,4,1,3,6
"signal61",6,3,5,1,0,2,0,2,2,1,0,2,0,4,1,1,0,0,8,3,0,4,1,0,1,4,0,3,1,0,0,2,1,1,1,1,1,0,2,1,5,0,3,0,0,0,1,2,2,5,1,1,1,1,6,2,1,7,2,1,1,0,3,1,2,0,5,1,0,0,1,1,3,1,0,2,0,3,4,5,0,1,1,1,0,1,0,3,1,2,7,2,4
"signal62",2,3,1,0,1,0,1,0,1,3,4,0,3,2,1,1,2,1,0,2,3,3,0,5,3,5,3,1,0,0,6,5,0,0,2,1,7,0,1,1,0,1,0,1,0,1,2,0,2,2,4,1,0,1,4,1,10,1,1,1,2,6,1,2,1,1,1,0,0,4,1,1,3,1,4,1,2,0,0,2,5,1,0,0,2,3,0,0,0,2,5,0,1
"signal63",1,1,4,1,3,0,1,4,4,1,0,1,0,1,2,0,2,1,1,4,1,2,0,2,2,4,1,4,0,2,4,2,1,3,1,1,1,2,2,2,1,1,3,5,1,2,1,0,5,2,0,2,0,0,0,1,1,6,0,0,7,1,6,10,6,1,1,2,5,0,1,0,6,2,2,5,4,10,2,1,0,2,1,1,0,2,0,0,1,1,3,2,0
"signal64",6,2,0,7,2,2,2,1,2,4,0,1,1,0,0,1,1,0,0,0,2,2,4,3,2,2,0,9,0,5,1,0,1,5,1,2,4,0,0,4,2,1,4,0,1,0,3,0,1,6,1,1,2,2,2,1,1,0,4,1,0,1,3,0,1,0,3,4,3,0,1,1,1,0,5,2,6,0,3,2,5,5,1,1,1,2,0,1,2,1,7,0,1
"signal65",2,1,5,7,2,2,0,0,0,2,0,2,0,0,0,1,0,0,1,1,0,2,5,1,0,2,0,0,0,7,1,3,0,3,7,0,2,4,1,1,1,2,0,1,1,0,0,3,1,1,2,3,0,4,2,2,0,1,3,0,2,3,2,2,1,2,0,1,1,1,3,1,5,3,2,3,0,4,0,5,1,1,0,0,0,0,1,1,0,2,1,1,2
"signal66",4,8,1,2,4,1,0,3,2,5,2,1,2,1,4,0,4,4,5,0,2,0,1,0,0,2,5,2,1,1,2,1,2,1,2,2,2,0,1,4,0,3,3,2,4,7,1,2,3,4,5,1,1,4,0,3,2,2,2,4,0,2,2,8,2,0,6,0,0,3,2,1,0,0,0,1,1,0,1,2,3,0,1,0,1,6,2,2,0,1,7,1,4
"signal67",0,0,1,2,1,4,2,1,1,10,3,0,2,3,2,2,5,5,3,1,2,2,3,3,4,4,0,0,2,0,3,1,2,2,1,1,1,1,0,4,1,2,1,1,0,2,3,1,4,0,0,2,7,0,0,2,1,3,1,4,2,0,3,1,2,2,0,3,2,1,1,3,3,2,2,5,3,0,0,2,3,1,1,2,4,2,0,4,1,2,1,2,0
"signal68",3,3,0,1,0,0,4,0,3,5,3,2,4,2,0,2,0,1,1,6,1,0,4,0,1,3,4,1,1,3,0,3,2,2,0,2,3,3,5,0,1,2,3,0,2,1,0,5,3,0,5,4,1,0,1,0,3,5,8,0,0,0,4,0,2,1,1,0,0,5,6,3,2,1,1,3,1,9,0,6,4,2,1,0,5,1,0,1,0,1,6,1,1
